season,gsis_id,pfr_id,team
2023,00-0039147,GonzCh00,NE
2023,00-0039150,YounBr01,CAR
2023,00-0039151,ForbEm00,WAS
2023,00-0039152,LeviWi00,TEN
2023,00-0039155,OjulBJ00,ARI
2023,00-0039156,BrenJu00,IND
2023,00-0039164,RichAn03,IND
2023,00-0039165,CharZa00,SEA
2023,00-0039169,WithDe00,SEA
2024,00-0023459,RodgAa00,NYJ
2024,00-0024243,LewiMa00,CHI
2024,00-0025565,FolkNi20,TEN
2024,00-0026143,RyanMa00,ATL
2024,00-0026158,FlacJo00,IND
2023,00-0039032,SpeaTy00,TEN
2023,00-0039021,JohnRo07,CHI
2023,00-0038848,KendAn00,TEN
2023,00-0039007,WillGa00,ARI
2023,00-0038850,McLeTK00,TEN
2023,00-0038851,MurpCa00,TEN
2023,00-0038853,ReesOt00,TEN
2023,00-0038862,DotsEl00,LAC
2023,00-0038865,FarmAn00,LAC
2023,00-0038877,JamiDS00,CAR
2023,00-0038891,JackSh01,CIN
2023,00-0038922,ThomDr00,SEA
2023,00-0038935,StraBr00,JAX
2023,00-0038937,PickZa00,CHI
2023,00-0038938,HyatJa00,NYG
2023,00-0038941,ScotTy00,CHI
2023,00-0038953,DrumDy00,NYG
2023,00-0038961,GarrEr00,TEN
2023,00-0038969,JackKe02,TEN
2023,00-0038976,MimsMa00,DEN
2023,00-0038978,YounBy01,LV
2023,00-0038980,HarrZa00,ATL
2023,00-0038984,ClarKe02,ARI
2023,00-0038994,AddiJo00,MIN
2023,00-0038995,BresBr00,NO
2023,00-0038997,DownJo00,IND
2023,00-0038998,HaenJa00,NO
2023,00-0039000,BankDe00,NYG
2023,00-0039003,SandDr00,DEN
2023,00-0036895,SmitEl00,LV
2023,00-0036887,FarrLu00,JAX
2023,00-0036885,BrowTr03,SEA
2023,00-0035290,JohnJa11,TB
2023,00-0035249,OlivJo00,MIN
2023,00-0035251,GrieWi00,LAC
2023,00-0035255,ShefKe00,TEN
2023,00-0035259,WescTr00,TEN
2023,00-0035264,StidJa00,DEN
2023,00-0035269,GayxMa00,IND
2023,00-0035270,OruwAm00,JAX
2023,00-0035273,OlliQa00,PIT
2023,00-0035277,JackMi01,SEA
2023,00-0035282,SticEa00,LAC
2023,00-0035287,JohnKe07,BUF
2023,00-0035289,MinsGa00,IND
2023,00-0035291,WillTr06,CIN
2023,00-0034999,SummTy00,NO
2023,00-0035294,AustBl00,ATL
2023,00-0035298,MillSc01,ATL
2023,00-0035307,MoreJi00,NYJ
2023,00-0035308,SweeTo00,NYG
2023,00-0035309,MackAl00,TEN
2023,00-0035311,GaskMy00,MIN
2023,00-0035315,BrouCo00,BUF
2023,00-0035316,ElliKa00,ATL
2023,00-0035329,ParhDo00,LAC
2023,00-0035334,StroKe00,ARI
2023,00-0035341,IrwiTr00,CIN
2023,00-0035343,LedbJo01,ARI
2023,00-0035248,AlleZa01,DEN
2023,00-0035247,HillTr00,NE
2023,00-0035246,ArceJJ00,ATL
2023,00-0035244,JohnLo01,NO
2023,00-0035022,HartPe01,ATL
2023,00-0035039,CarlSt00,CHI
2023,00-0035101,DaviDa03,WAS
2023,00-0035102,DillBr00,WAS
2023,00-0035120,DossKe00,LAC
2023,00-0035142,AmadUg00,NO
2023,00-0035143,BurrBe00,SEA
2023,00-0035144,WilsMa03,NE
2023,00-0035145,SeibAu00,NYJ
